"filename", "language", "JavaScript", "JavaScript JSX", "XML", "SCSS", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Admin\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 121, 0, 0, 0, 0, 3, 6, 130
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Admin\Sidebar\Sidebar.scss", "SCSS", 0, 0, 0, 92, 0, 0, 0, 0, 92
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Cart\Cart.jsx", "JavaScript JSX", 0, 506, 0, 0, 0, 0, 11, 21, 538
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Cart\Cart.scss", "SCSS", 0, 0, 0, 379, 0, 0, 0, 4, 383
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Category\Category.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Category\Category.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Error\ErrorPage.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Error\ErrorPage.scss", "SCSS", 0, 0, 0, 60, 0, 0, 0, 0, 60
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Footer\Footer.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Footer\Footer.scss", "SCSS", 0, 0, 0, 75, 0, 0, 0, 0, 75
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Footer\Newsletter\Newsletter.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Footer\Newsletter\Newsletter.scss", "SCSS", 0, 0, 0, 88, 0, 0, 0, 1, 89
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ForgotPassword\ForgotPassword.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ForgotPassword\ForgotPassword.scss", "SCSS", 0, 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Header\Header.jsx", "JavaScript JSX", 0, 114, 0, 0, 0, 0, 31, 7, 152
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Header\Header.scss", "SCSS", 0, 0, 0, 250, 0, 0, 0, 2, 252
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Header\Search\Search.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Header\Search\Search.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Banner\Banner.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Banner\Banner.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Category\Category.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Category\Category.scss", "SCSS", 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Home.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 2, 2, 81
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Home\Home.scss", "SCSS", 0, 0, 0, 64, 0, 0, 0, 3, 67
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ImageSlider\ImageSlider.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\ImageSlider\ImageSlider.scss", "SCSS", 0, 0, 0, 31, 0, 0, 0, 0, 31
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Loading\LoadingPopup.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Loading\LoadingPopup.scss", "SCSS", 0, 0, 0, 113, 0, 0, 0, 3, 116
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Login\Login.jsx", "JavaScript JSX", 0, 88, 0, 0, 0, 0, 0, 3, 91
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Login\Login.scss", "SCSS", 0, 0, 0, 133, 0, 0, 0, 3, 136
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Notify\Notify.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Notify\Notify.scss", "SCSS", 0, 0, 0, 115, 0, 0, 0, 1, 116
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Order\OrderDetail\OrderDetail.jsx", "JavaScript JSX", 0, 219, 0, 0, 0, 0, 0, 10, 229
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Order\OrderDetail\OrderDetail.scss", "SCSS", 0, 0, 0, 227, 0, 0, 0, 2, 229
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Order\OrderHistory\OrderHistory.jsx", "JavaScript JSX", 0, 373, 0, 0, 0, 0, 2, 15, 390
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Popup\Popup.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Popup\Popup.scss", "SCSS", 0, 0, 0, 67, 0, 0, 0, 3, 70
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\PrivateRoute.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Banner\Banner.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Banner\Banner.scss", "SCSS", 0, 0, 0, 60, 0, 0, 0, 0, 60
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\ProductSlider\ProductSlider.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\ProductSlider\ProductSlider.scss", "SCSS", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Acer\Documents\workspace\GR3\frontend_final\src\Components\Products\Product\Product.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 2, 5, 119
